year,picture,rating,runtime,genre,subgenre,release,score,synopsis,,,,,,,,,,,,,,,,,,,,,,,,
2017,Darkest Hour,7.4,125,Drama,History,January,75,"The fate of Western Europe hangs on Winston Churchill in the early days of World War II. The newly appointed British prime minister must decide whether to negotiate with Hitler or fight on against incredible odds. During the next four weeks in 1940, Churchill cements his legacy as his courageous decisions and leadership help change the course of world history.",,,,,,,,,,,,,,,,,,,,,,,,
2016,Manchester by the Sea,7.8,137,Drama,NA,November,96,"After the death of his older brother Joe, Lee Chandler (Casey Affleck) is shocked that Joe has made him sole guardian of his teenage nephew Patrick. Taking leave of his job as a janitor in Boston, Lee reluctantly returns to Manchester-by-the-Sea, the fishing village where his working-class family has lived for generations. There, he is forced to deal with a past that separated him from his wife, Randi (Michelle Williams), and the community where he was born and raised.",,,,,,,,,,,,,,,,,,,,,,,,
2014, The Theory of Everything,7.7,123,Biography,Drama,January,72,A look at the relationship between the famous physicist Stephen Hawking and his wife.,,,,,,,,,,,,,,,,,,0,0,NA,NA,NA,0,NA
2013, Dallas Buyers Club,8,117,Biography,Drama,November,84,In 1985 Dallas electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.,,,,,,,,,,,,,,,,,,,,,,,,
2012, Lincoln,7.4,150,Biography,Drama,November,86,As the Civil War continues to rage Americas president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.,,,,,,,,,,,,,,,,,,,,,,,,
2009, Crazy Heart,7.3,112,Drama,Music,February,83,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,,,,,,,,,,,,,,,,,,,,,,,,
2008, Milk,7.6,128,Biography,Drama,January,84,The story of Harvey Milk and his struggles as an American gay activist who fought for gay rights and became Californias first openly gay elected official.,,,,,,,,,,,,,,,,,,,,,,,,
2007, There Will Be Blood,8.1,158,Drama,NA,January,92,A story of family religion hatred oil and madness focusing on a turn-of-the-century prospector in the early days of the business.,,,,,,,,,,,,,,,,,,,,,,,,
2006, The Last King of Scotland,7.7,121,Biography,Drama,January,74,Based on the events of the brutal Ugandan dictator Idi Amins regime as seen by his personal physician during the 1970s,,,,,,,,,,,,,,,,,,,,,,,,
2005, Capote,7.4,114,Biography,Crime,February,88,In 1959 Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood Capote forms a relationship with one of the killers Perry Smith who is on death row.,,,,,,,,,,,,,,,,,,,,,,,,
2004, Ray,7.7,152,Biography,Drama,October,73,The story of the life and career of the legendary rhythm and blues musician Ray Charles from his humble beginnings in the South where he went blind at age seven to his meteoric rise to stardom during the 1950s and 1960s.,,,,,,,,,,,,,,,,,,,,,,,,
2003, Mystic River,8,138,Crime,Drama,October,84,With a childhood tragedy that overshadowed their lives three men are reunited by circumstance when one has a family tragedy.,,,,,,,,,,,,,,,,,,,,,,,,
2001, Training Day,7.7,122,Crime,Drama,October,70,On his first day on the job as a Los Angeles narcotics officer a rookie cop goes on a 24-hour training course with a rogue detective who isnt what he appears.,,,,,,,,,,,,,,,,,,,,,,,,
2000, Gladiator,8.5,155,Action,Drama,May,64,When a Roman general is betrayed and his family murdered by an emperors corrupt son he comes to Rome as a gladiator to seek revenge.,,,,,,,,,,,,,,,,,,,,,,,,
1998, Life Is Beautiful,8.6,116,Comedy,Drama,November,59,When an open-minded Jewish librarian and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp.,,,,,,,,,,,,,,,,,,,,,,,,
1996, Shine,7.7,105,Biography,Drama,December,87,Pianist David Helfgott driven by his father and teachers has a breakdown. Years later he returns to the piano to popular if not critical acclaim.,,,,,,,,,,,,,,,,,,,,,,,,
1995, Leaving Las Vegas,7.6,111,Drama,Romance,February,82,Ben Sanderson an alcoholic Hollywood screenwriter who lost everything because of his drinking arrives in Las Vegas to drink himself to death. There he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.,,,,,,,,,,,,,,,,,,,,,,,,
1993, Philadelphia,7.7,125,Drama,NA,January,66,When a man with AIDS is fired by his law firm because of his condition he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.,,,,,,,,,,,,,,,,,,,,,,,,
1992, Scent of a Woman,8,156,Drama,NA,January,59,"A prep school student needing money agrees to ""babysit"" a blind man but the job is not at all what he anticipated.",,,,,,,,,,,,,,,,,,,,,,,,
1990, Reversal of Fortune,7.3,111,Biography,Drama,November,93,Wealthy Sunny von Bäó»_low lies brain-dead husband Claus guilty of attempted murder; but he says hes innocent and hires Alan Dershowitz for his appeal.,,,,,,,,,,,,,,,,,,,,,,,,
1989, My Left Foot,7.9,103,Biography,Drama,April,0,Christy Brown born with cerebral palsy learns to paint and write with his only controllable limb - his left foot.,,,,,,,,,,,,,,,,,,,,,,,,
1987, Wall Street,7.4,126,Crime,Drama,December,56,A young and impatient stockbroker is willing to do anything to get to the top including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.,,,,,,,,,,,,,,,,,,,,,,,,
1986, The Color of Money,7,119,Drama,Sport,October,0,Fast Eddie Felson teaches a cocky but immensely talented protäó»Œ©gäó»Œ© the ropes of pool hustling which in turn inspires him to make an unlikely comeback.,,,,,,,,,,,,,,,,,,,,,,,,
1985, Kiss of the Spider Woman,7.4,120,Drama,Romance,July,80,Luis Molina and Valentin Arregui are cell mates in a South American prison. Luis a trans individual is found guilty of immoral behavior and Valentin is a political prisoner. To escape ...                See full summaryí_Œ_í__,,,,,,,,,,,,,,,,,,,,,,,,
1983, Tender Mercies,7.5,92,Drama,Music,June,0,A broken-down middle-aged country singer gets a new wife reaches out to his long-lost daughter and tries to put his troubled life back together.,,,,,,,,,,,,,,,,,,,,,,,,
1980, Raging Bull,8.3,129,Biography,Drama,December,92,An emotionally self-destructive boxers journey through life as the violence and temper that leads him to the top in the ring destroys his life outside it.,,,,,,,,,,,,,,,,,,,,,,,,
